Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Country,Genre,Url of the poster,Url of the youtube trailer
Apocalypse Now,Francis Coppola,"Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall",1979,2,http://www.imdb.com/title/tt0078788/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDg1MDgzMmQtNDhlYS00MzZiLTllZGItNzliZTE1ODBiZDQwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,658,1000_AL_.jpg",https://youtu.be/FTjG-Aux_yQ
North by Northwest,Alfred Hitchcock," Cary Grant, Eva Marie Saint, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G Carroll, Martin Landau",1959,,http://www.imdb.com/title/tt0053125/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,664,1000_AL_.jpg",https://youtu.be/ek7T9Gyl_J4
Once Upon a Time in the West,Sergio Leone,"Charles Bronson, Claudia Cardinale, Henry Fonda, Jason Robards",1968,,http://www.imdb.com/title/tt0064116/,Italy,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxOTEwOTU0MV5BMl5BanBnXkFtZTgwNDc4NjQ3MTI@._V1_SY1000_CR0,0,704,1000_AL_.jpg",https://youtu.be/Yw-Av9BpC-w
The Wild Bunch,Sam Pekinpah,"Ernest Borgnine, Robert Ryan, William Holden",1969,,http://www.imdb.com/title/tt0065214/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGUyYTZmOWItMDJhMi00N2IxLWIyNDMtNjUxM2ZiYmU5YWU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,654,1000_AL_.jpg",https://youtu.be/kdy0t_8mQBw
Deliverance,John Boorman ,"Burt Reynolds, Jon Voight, Ned Beatty",1972,,http://www.imdb.com/title/tt0068473/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjBhYzU3NWItOWZjMy00NjI5LWFmYmItZmIyOWFlMDIxMWNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY1000_CR0,0,676,1000_AL_.jpg",https://youtu.be/at-gOm93fZg
City of God,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino da Hora, Matheus Nachtergaele, Phelipe Haagensen",2002,,http://www.imdb.com/title/tt0317248/,Brazil,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTM4MjZjNWEtMmQxMi00YzY5LTg4ZTAtODJlMDVkZWZmNTVhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY1000_CR0,0,677,1000_AL_.jpg",https://youtu.be/dcUOO4Itgmw
Paths of Glory,Stanley Kubrick,"Adolphe Menjou, Kirk Douglas, Ralph Meeker",1957,,http://www.imdb.com/title/tt0050825/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SY1000_CR0,0,653,1000_AL_.jpg",https://youtu.be/AV9XLjDbt5A
The Wages of Fear,Henri-Georges Clouzot,"Charles Vanel, Folco Lulli, Yves Montand",1953,,http://www.imdb.com/title/tt0046268/,France,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY1000_CR0,0,687,1000_AL_.jpg",https://youtu.be/2_0OrSG5RWA
Crouching Tiger Hidden Dragon,Ang Lee,"Chang Chen, Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Ziyi Zhang",2000,4,http://www.imdb.com/title/tt0190332/,Taiwan,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDdhMzMxOTctNDMyNS00NTZmLTljNWEtNTc4MDBmZTYxY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://youtu.be/WdhvxJZDqzU
 The Thin Red Line,Terrence Malik,"Adrien Brody, Ben Chaplin, Nick Nolte, Sean Penn",1998,,http://www.imdb.com/title/tt0120863/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzMTM2NjAtNWFmZC00MTVlLTgyMmQtMGQyNTFjZDk5N2NmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SY1000_CR0,0,673,1000_AL_.jpg",https://youtu.be/mKl5_OxKBn8
